Nº1 afrikaans: africaans
Nº2 albanian: albanés
Nº3 amharic: amárico
Nº4 arabic: Arábica
Nº5 armenian: armenio
Nº6 azerbaijani: azerbaiyano
Nº7 basque: vasco
Nº8 belarusian: bielorruso
Nº9 bengali: bengalí
Nº10 bosnian: bosnio
Nº11 bulgarian: búlgaro
Nº12 catalan: catalán
Nº13 cebuano: cebuano
Nº14 chichewa: chichewa
Nº15 chinese (simplified): chino simplificado)
Nº16 chinese (traditional): chino tradicional)
Nº17 corsican: corso
Nº18 croatian: croata
Nº19 czech: checo
Nº20 danish: danés
Nº21 dutch: holandés
Nº22 english: Inglés
Nº23 esperanto: esperanto
Nº24 estonian: estonio
Nº25 filipino: filipino
Nº26 finnish: finlandés
Nº27 french: francés
Nº28 frisian: frisio
Nº29 galician: gallego
Nº30 georgian: georgiano
Nº31 german: alemán
Nº32 greek: griego
Nº33 gujarati: gujarati
Nº34 haitian creole: criollo haitiano
Nº35 hausa: hausa
Nº36 hawaiian: hawaiano
Nº37 hebrew: hebreo
Nº38 hindi: hindi
Nº39 hmong: hmong
Nº40 hungarian: húngaro
Nº41 icelandic: islandés
Nº42 igbo: igbo
Nº43 indonesian: indonesio
Nº44 irish: irlandesa
Nº45 italian: italiano
Nº46 japanese: japonés
Nº47 javanese: javanés
Nº48 kannada: Kannada
Nº49 kazakh: kazajo
Nº50 khmer: Khmer
Nº51 korean: coreano
Nº52 kurdish (kurmanji): kurdo (kurmanji)
Nº53 kyrgyz: kirguís
Nº54 lao: lao
Nº55 latin: latín
Nº56 latvian: letón
Nº57 lithuanian: lituano
Nº58 luxembourgish: luxemburgués
Nº59 macedonian: macedónio
Nº60 malagasy: madagascarí
Nº61 malay: malayo
Nº62 malayalam: malayalam
Nº63 maltese: maltés
Nº64 maori: maorí
Nº65 marathi: marathi
Nº66 mongolian: mongol
Nº67 myanmar (burmese): myanmar (birmano)
Nº68 nepali: nepalí
Nº69 norwegian: noruego
Nº70 pashto: pashto
Nº71 persian: persa
Nº72 polish: polaco
Nº73 portuguese: portugués
Nº74 punjabi: punjabi
Nº75 romanian: rumano
Nº76 russian: ruso
Nº77 samoan: samoano
Nº78 scots gaelic: gaélico escocés
Nº79 serbian: serbio
Nº80 sesotho: sesotho
Nº81 shona: shona
Nº82 sindhi: sindhi
Nº83 sinhala: sinhala
Nº84 slovak: eslovaco
Nº85 slovenian: esloveno
Nº86 somali: somalí
Nº87 spanish: Español
Nº88 sundanese: sundanés
Nº89 swahili: swahili
Nº90 swedish: sueco
Nº91 tajik: tayiko
Nº92 tamil: tamil
Nº93 telugu: telugu
Nº94 thai: tailandés
Nº95 turkish: turco
Nº96 ukrainian: ucranio
Nº97 urdu: urdu
Nº98 uzbek: uzbeko
Nº99 vietnamese: vietnamita
Nº100 welsh: galés
Nº101 xhosa: xhosa
Nº102 yiddish: yídish
Nº103 yoruba: yoruba
Nº104 zulu: zulú
Nº105 Hebrew: hebreo
